id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video
1120989257110364160,1120989257110364160,1556099640000,2019-04-24,04:54:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Building a Turing Machine with Reinforcement Learning 🚀 https://buff.ly/2Gy3mac ,,['https://buff.ly/2Gy3mac'],[],0,6,16,,[],https://twitter.com/TDataScience/status/1120989257110364160,,,0
1120857893614567424,1120857893614567424,1556068321000,2019-04-23,20:12:01,CDT,788898706586275840,tdatascience,Towards Data Science,,Key Kubernetes Commands 🚀 by @discdiver https://buff.ly/2UxudGR ,['discdiver'],['https://buff.ly/2UxudGR'],[],0,1,3,,[],https://twitter.com/TDataScience/status/1120857893614567424,,,0
1120787174184636417,1120787174184636417,1556051460000,2019-04-23,15:31:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Machine learning for anomaly detection and condition monitoring https://buff.ly/2GyJPVx ,,['https://buff.ly/2GyJPVx'],[],0,1,7,,[],https://twitter.com/TDataScience/status/1120787174184636417,,,0
1120740122444615681,1120740122444615681,1556040242000,2019-04-23,12:24:02,CDT,788898706586275840,tdatascience,Towards Data Science,,10 things R can do that might surprise you.  https://buff.ly/2u554sr  🖊by @rdpeng @jtleek @rafalab @simplystats #rstats #DataScience #TDSPick 💡🎆 pic.twitter.com/1hAmxdeyG2,"['rdpeng', 'jtleek', 'rafalab', 'simplystats']",['https://buff.ly/2u554sr'],['https://pbs.twimg.com/media/D42rM6jWwAEH6ox.png'],0,6,7,,"['#rstats', '#datascience', '#tdspick']",https://twitter.com/TDataScience/status/1120740122444615681,,,0
1120702371527569408,1120702371527569408,1556031241000,2019-04-23,09:54:01,CDT,788898706586275840,tdatascience,Towards Data Science,,3 Awesome Visualization Techniques for every dataset by @MLWhiz https://buff.ly/2vmnIfP ,['mlwhiz'],['https://buff.ly/2vmnIfP'],[],0,10,31,,[],https://twitter.com/TDataScience/status/1120702371527569408,,,0
1120702365819187200,1120702365819187200,1556031240000,2019-04-23,09:54:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Detecting Malaria with Deep Learning https://buff.ly/2URnoFe ,,['https://buff.ly/2URnoFe'],[],0,5,8,,[],https://twitter.com/TDataScience/status/1120702365819187200,,,0
1120667894147424256,1120667894147424256,1556023021000,2019-04-23,07:37:01,CDT,788898706586275840,tdatascience,Towards Data Science,,"A New Data Scientist’s Reflections on Culture, Progress, & Technology https://buff.ly/2ZvKhgj ",,['https://buff.ly/2ZvKhgj'],[],0,0,2,,[],https://twitter.com/TDataScience/status/1120667894147424256,,,0
1120580818135597056,1120580818135597056,1556002261000,2019-04-23,01:51:01,CDT,788898706586275840,tdatascience,Towards Data Science,,How Do You Know You Have Enough Training Data? https://buff.ly/2UAdoLq ,,['https://buff.ly/2UAdoLq'],[],0,8,15,,[],https://twitter.com/TDataScience/status/1120580818135597056,,,0
1120508589037248512,1120508589037248512,1555985040000,2019-04-22,21:04:00,CDT,788898706586275840,tdatascience,Towards Data Science,,"Ensemble methods: bagging, boosting and stacking 🚀  by @JosephRocca3 & Baptiste Rocca https://buff.ly/2UsZnPH ",['josephrocca3'],['https://buff.ly/2UsZnPH'],[],0,5,9,,[],https://twitter.com/TDataScience/status/1120508589037248512,,,0
1120508589016219648,1120508589016219648,1555985040000,2019-04-22,21:04:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Building a Collaborative Filtering Recommender System with ClickStream Data by @attractchinese https://buff.ly/2ULRU3n ,['attractchinese'],['https://buff.ly/2ULRU3n'],[],0,5,7,,[],https://twitter.com/TDataScience/status/1120508589016219648,,,0
